timestamp,phase,duration_s,decision,reason,N_thru_count,S_thru_count,E_thru_count,W_thru_count,N_left_count,S_left_count,E_left_count,W_left_count
2026-02-17T18:58:16.021601,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,1,0,2,1,0,0,0,0
2026-02-17T18:58:18.021874,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,2,0,2,2,0,0,0,0
2026-02-17T18:58:20.022140,PHASE_1_N_S_THRU,11.0,HOLD,min_green_not_met,3,1,3,3,1,0,0,0
2026-02-17T18:58:22.022340,PHASE_1_N_S_THRU,13.0,HOLD,min_green_not_met,3,0,3,4,1,0,1,0
2026-02-17T18:58:24.022546,PHASE_1_N_S_THRU,15.0,CHANGE,other_phase_demand,5,2,4,5,1,0,1,0
2026-02-17T18:58:37.023096,PHASE_2_N_S_LEFT,7.0,HOLD,min_green_not_met,6,2,5,6,1,0,1,1
2026-02-17T18:58:39.023360,PHASE_2_N_S_LEFT,9.0,HOLD,min_green_not_met,7,2,5,8,1,0,1,1
2026-02-17T18:58:41.023553,PHASE_2_N_S_LEFT,11.0,CHANGE,other_phase_demand,7,2,5,9,1,0,1,1
2026-02-17T18:58:54.024149,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,7,2,5,8,1,0,2,1
2026-02-17T18:58:56.024333,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,7,2,5,9,1,0,3,1
2026-02-17T18:58:58.024532,PHASE_1_N_S_THRU,11.0,HOLD,min_green_not_met,7,2,5,9,1,0,3,1
2026-02-17T18:59:00.024741,PHASE_1_N_S_THRU,13.0,HOLD,min_green_not_met,8,3,5,9,1,0,3,1
2026-02-17T18:59:02.025032,PHASE_1_N_S_THRU,15.0,CHANGE,other_phase_demand,9,2,5,9,0,0,3,1
2026-02-17T18:59:15.025527,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,9,3,5,9,0,0,3,1
2026-02-17T18:59:17.025755,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,9,3,5,10,0,0,4,1
2026-02-17T18:59:19.026030,PHASE_3_E_W_THRU,11.0,HOLD,min_green_not_met,9,4,6,9,0,0,4,1
2026-02-17T18:59:21.026299,PHASE_3_E_W_THRU,13.0,HOLD,min_green_not_met,9,5,6,10,0,0,4,1
2026-02-17T18:59:23.026506,PHASE_3_E_W_THRU,15.0,CHANGE,other_phase_demand,9,5,6,11,0,0,4,1
2026-02-17T18:59:36.027005,PHASE_4_E_W_LEFT,7.0,HOLD,min_green_not_met,9,5,7,11,0,0,5,1
2026-02-17T18:59:38.027246,PHASE_4_E_W_LEFT,9.0,HOLD,min_green_not_met,10,5,7,11,0,0,5,1
2026-02-17T18:59:40.027453,PHASE_4_E_W_LEFT,11.0,CHANGE,other_phase_demand,10,6,8,13,0,0,4,2
2026-02-17T18:59:53.027882,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,10,8,8,14,0,0,4,2
2026-02-17T18:59:55.028192,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,10,8,8,16,0,0,4,2
2026-02-17T18:59:57.028436,PHASE_3_E_W_THRU,11.0,HOLD,min_green_not_met,10,9,9,17,0,0,4,3
2026-02-17T18:59:59.028707,PHASE_3_E_W_THRU,13.0,HOLD,min_green_not_met,10,10,9,16,0,0,4,4
2026-02-17T19:00:01.029007,PHASE_3_E_W_THRU,15.0,CHANGE,other_phase_demand,11,11,9,16,0,0,4,4
2026-02-17T19:00:14.029552,PHASE_4_E_W_LEFT,7.0,HOLD,min_green_not_met,11,12,10,17,0,0,4,4
2026-02-17T19:00:16.029822,PHASE_4_E_W_LEFT,9.0,HOLD,min_green_not_met,12,12,10,17,0,0,4,4
2026-02-17T19:00:18.030059,PHASE_4_E_W_LEFT,11.0,CHANGE,other_phase_demand,12,13,10,18,0,0,5,4
2026-02-17T19:00:31.030535,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,13,14,10,18,0,0,5,4
2026-02-17T19:00:33.030724,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,13,14,11,19,0,0,5,3
2026-02-17T19:00:35.030931,PHASE_3_E_W_THRU,11.0,HOLD,min_green_not_met,13,14,11,20,0,0,5,3
2026-02-17T19:00:37.031218,PHASE_3_E_W_THRU,13.0,HOLD,min_green_not_met,14,14,11,21,0,0,5,3
2026-02-17T19:00:39.031445,PHASE_3_E_W_THRU,15.0,CHANGE,other_phase_demand,15,14,11,20,0,0,5,3
2026-02-17T19:00:52.032087,PHASE_4_E_W_LEFT,7.0,HOLD,min_green_not_met,16,14,13,20,0,0,5,3
2026-02-17T19:00:54.032311,PHASE_4_E_W_LEFT,9.0,HOLD,min_green_not_met,16,15,13,20,0,0,4,2
2026-02-17T19:00:56.032517,PHASE_4_E_W_LEFT,11.0,CHANGE,other_phase_demand,16,16,14,21,0,1,4,2
2026-02-17T19:01:09.033164,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,16,17,15,21,1,1,4,2
2026-02-17T19:01:11.033446,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,16,17,17,21,2,1,4,2
2026-02-17T19:01:13.033629,PHASE_3_E_W_THRU,11.0,HOLD,min_green_not_met,16,17,18,22,2,1,4,2
2026-02-17T19:01:15.033877,PHASE_3_E_W_THRU,13.0,HOLD,min_green_not_met,17,16,19,23,2,1,4,2
2026-02-17T19:01:17.034187,PHASE_3_E_W_THRU,15.0,CHANGE,other_phase_demand,18,18,19,23,2,1,4,2
2026-02-17T19:01:30.034646,PHASE_4_E_W_LEFT,7.0,HOLD,min_green_not_met,18,19,19,24,2,1,3,3
2026-02-17T19:01:32.034834,PHASE_4_E_W_LEFT,9.0,HOLD,min_green_not_met,18,21,19,24,2,1,2,3
2026-02-17T19:01:34.035087,PHASE_4_E_W_LEFT,11.0,CHANGE,other_phase_demand,19,21,20,25,3,1,2,3
